"","Industry","Data","Total","0-4","5-9","10-19","20-49","50-99","100-249","250-499","500-999","1000","Year"
"184","Information","No. of Businesses",1276,693,NA,NA,124,54,40,12,5,8,2005-01-01
"185","Information","No. of Employees",37133,1062,NA,NA,3774,3825,6391,4032,3387,11348,2005-01-01
"186","Information","Payroll (in thousands)",935033,15550,NA,NA,56244,56273,130501,103980,89848,437815,2005-01-01
"187","Finance and Insurance","No. of Businesses",4461,2658,723,589,335,82,50,15,NA,NA,2005-01-01
"188","Finance and Insurance","No. of Employees",53494,4234,4892,8166,9570,5512,7769,5227,NA,NA,2005-01-01
"189","Finance and Insurance","Payroll (in thousands)",869404,65268,66160,117528,172715,91920,141724,93749,NA,NA,2005-01-01
"190","Real Estate and Rental and Leasing","No. of Businesses",4805,3405,747,400,167,NA,NA,6,NA,NA,2005-01-01
"191","Real Estate and Rental and Leasing","No. of Employees",30173,5165,4931,5181,4969,NA,NA,2286,NA,NA,2005-01-01
"192","Real Estate and Rental and Leasing","Payroll (in thousands)",303334,55778,44056,50580,57909,NA,NA,14947,NA,NA,2005-01-01
"193","Services","No. of Businesses",50122,34754,5980,4186,3248,1097,637,145,47,28,2005-01-01
"194","Services","No. of Employees",539310,41892,39668,57311,98027,75521,95565,50159,33030,48137,2005-01-01
"195","Services","Payroll (in thousands)",5120218,357648,353202,479947,828204,683481,993514,518879,369466,535878,2005-01-01
"196","Total","No. of Businesses",90568,58072,13036,8908,6479,2248,1359,305,108,53,2006-01-01
"197","Total","No. of Employees",1104886,78490,86350,120674,195372,155460,204360,101626,74647,87907,2006-01-01
"198","Total","Payroll (in thousands)",11964016,744281,782418,1119114,1911862,1632961,2208295,1193163,981352,1390571,2006-01-01
"199","Agriculture","No. of Businesses",753,451,110,71,75,28,14,NA,NA,NA,2006-01-01
"200","Agriculture","No. of Employees",11228,746,728,957,2299,2080,2257,NA,NA,NA,2006-01-01
"201","Agriculture","Payroll (in thousands)",71911,5036,4986,5965,14351,14363,14809,NA,NA,NA,2006-01-01
"202","Mining","No. of Businesses",36,27,NA,3,NA,NA,NA,NA,NA,NA,2006-01-01
"203","Mining","No. of Employees",461,38,NA,34,NA,NA,NA,NA,NA,NA,2006-01-01
"204","Mining","Payroll (in thousands)",7113,559,NA,216,NA,NA,NA,NA,NA,NA,2006-01-01
"205","Utilities","No. of Businesses",70,31,10,7,6,NA,NA,NA,NA,NA,2006-01-01
"206","Utilities","No. of Employees",6482,61,57,108,189,NA,NA,NA,NA,NA,2006-01-01
